Company,Location_HQ,Country,Continent,Laid_Off,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Year
Ritual,Toronto,Canada,North America,23,16.0,144,121,Food,Series C,2022
Pitch,Berlin,Germany,Europe,59,30.0,197,138,Marketing,Series B,2022
Chainalysis,New York City,USA,North America,150,15.0,1000,850,Crypto,Series F,2023
OpenX,Los Angeles,USA,North America,35,15.0,233,198,Marketing,Unknown,2020
Perimeter 81,Tel Aviv,Israel,Asia,20,8.0,250,230,Security,Series C,2022
LEAD,Mumbai,India,Asia,80,4.0,2000,1920,Education,Series E,2022
Dropbox,San Francisco Bay Area,USA,North America,315,15.0,2100,1785,Other,Post-IPO,2021
Taboola,New York City,USA,North America,100,6.0,1667,1567,Marketing,Post-IPO,2022
Kraken,San Francisco Bay Area,USA,North America,1100,30.0,3667,2567,Crypto,Unknown,2022
Liftoff,San Francisco Bay Area,USA,North America,130,15.0,867,737,Marketing,Acquired,2022
Pecan AI,Tel Aviv,Israel,Asia,30,25.0,120,90,Data,Series C,2023
ContaAzul,Joinville,Brazil,South America,140,35.0,400,260,Education,Series D,2020
StockX,Detroit,USA,North America,100,12.0,833,733,Retail,Series C,2020
NYDIG,New York City,USA,North America,110,33.0,333,223,Crypto,Private Equity …,2022
At-Bay,San Francisco Bay Area,USA,North America,27,9.0,300,273,Security,Unknown,2023
Tekion,Bengaluru,India,Asia,300,10.0,3000,2700,Other,Series D,2023
Oda,Oslo,Sweden,Europe,70,18.0,389,319,Food,Unknown,2022
Shopify,Ottawa,Canada,North America,2300,20.0,11500,9200,Retail,Post-IPO,2023
Anchorage Digital,San Francisco Bay Area,USA,North America,75,20.0,375,300,Crypto,Series D,2023
Miro,San Francisco Bay Area,USA,North America,119,7.0,1700,1581,Other,Series C,2023
Doma,San Francisco Bay Area,USA,North America,515,40.0,1288,773,Finance,Post-IPO,2022
Smava,Berlin,Germany,Europe,100,10.0,1000,900,Finance,Unknown,2022
Demandbase,San Francisco Bay Area,USA,North America,27,3.0,900,873,Sales,Series H,2022
Nuro,San Francisco Bay Area,USA,North America,340,30.0,1133,793,Transportation,Series D,2023
Deep Instict,New York City,USA,North America,46,15.0,307,261,Security,Unknown,2023
Impala,London,United Kingdom,Europe,30,35.0,86,56,Travel,Series B,2022
Lyft,San Francisco Bay Area,USA,North America,60,2.0,3000,2940,Transportation,Post-IPO,2022
Bishop Fox,Phoenix,USA,North America,50,13.0,385,335,Security,Series B,2023
Argyle,New York City,USA,North America,20,7.0,286,266,Finance,Series B,2022
Flexe,Seattle,USA,North America,131,33.0,397,266,Logistics,Series D,2023
ApplyBoard,Waterloo,Canada,North America,90,6.0,1500,1410,Education,Series D,2022
HealthMatch,Sydney,Australia,Australia,18,50.0,36,18,Healthcare,Series B,2022
Bustle Digital Group,New York City,USA,North America,24,8.0,300,276,Media,Series E,2020
Klook,Hong Kong,Hong Kong,Asia,300,15.0,2000,1700,Travel,Series D,2020
Button,New York City,USA,North America,48,35.0,137,89,Marketing,Series C,2020
Happay,Bengaluru,India,Asia,160,35.0,457,297,Finance,Acquired,2023
Uber,San Francisco Bay Area,USA,North America,200,0.9961647656522389,20077,19877,Transportation,Post-IPO,2023
Divergent 3D,Los Angeles,USA,North America,57,36.0,158,101,Transportation,Series B,2020
AppFolio,Santa Barbara,USA,North America,149,9.0,1656,1507,Real Estate,Post-IPO,2023
WeWork,New Delhi,India,Asia,100,20.0,500,400,Real Estate,Series H,2020
Point,San Francisco Bay Area,USA,North America,61,28.0,218,157,Real Estate,Series C,2023
Lyst,London,United Kingdom,Europe,50,25.0,200,150,Retail,Unknown,2022
Swyft,Toronto,Canada,North America,10,30.0,33,23,Logistics,Series A,2022
Homebot,Denver,USA,North America,18,13.0,138,120,Real Estate,Acquired,2022
Outbrain,New York City,USA,North America,90,10.0,900,810,Marketing,Post-IPO,2023
Talent.com,Montreal,Canada,North America,86,18.0,478,392,Recruiting,Series B,2023
Ericsson,Stockholm,Sweden,Europe,8500,8.0,106250,97750,Other,Post-IPO,2023
Jumio,San Francisco Bay Area,USA,North America,100,6.0,1667,1567,Security,Private Equity …,2023
Playdots,New York City,USA,North America,65,100.0,65,0,Consumer,Acquired,2022
MiSan Franciscoits Market,Philadelphia,USA,North America,649,33.0,1967,1318,Food,Series C,2023
Planet,San Francisco Bay Area,USA,North America,117,10.0,1170,1053,Aerospace,Post-IPO,2023
BioMarin,San Francisco Bay Area,USA,North America,120,4.0,3000,2880,Healthcare,Post-IPO,2022
Calibrate,New York City,USA,North America,156,24.0,650,494,Healthcare,Series B,2022
Eroad,Auckland,New Zealand,Australia,200,31.0,645,445,Transportation,Unknown,2023
Snappy,New York City,USA,North America,100,30.0,333,233,Marketing,Series C,2023
Convoy,Seattle,USA,North America,90,7.0,1286,1196,Logistics,Series E,2022
TripActions,San Francisco Bay Area,USA,North America,300,25.0,1200,900,Travel,Series D,2020
Katerra,San Francisco Bay Area,USA,North America,400,7.0,5714,5314,Construction,Series E,2020
Toast,Boston,USA,North America,1300,50.0,2600,1300,Food,Series F,2020
Amount,Chicago,USA,North America,130,25.0,520,390,Finance,Unknown,2023
App Annie,San Francisco Bay Area,USA,North America,80,18.0,444,364,Data,Unknown,2020
Mixpanel,San Francisco Bay Area,USA,North America,65,19.0,342,277,Data,Series B,2020
Luno,London,United Kingdom,Europe,330,35.0,943,613,Crypto,Acquired,2023
Astronomer,Cincinnati,USA,North America,100,40.0,250,150,Data,Series C,2023
Careem,Dubai,United Arabian Emirates,Asia,536,31.0,1729,1193,Transportation,Acquired,2020
FrontRow,Bengaluru,India,Asia,145,30.0,483,338,Education,Series A,2022
Stytch,San Francisco Bay Area,USA,North America,19,25.0,76,57,Security,Series B,2023
Deepwatch,Tampa Bay,USA,North America,30,7.0,429,399,Security,Series C,2023
Ike,San Francisco Bay Area,USA,North America,10,14.0,71,61,Transportation,Series A,2020
Brex,San Francisco Bay Area,USA,North America,136,11.0,1236,1100,Finance,Series D,2022
Boost,New York City,USA,North America,15,20.0,75,60,Finance,Series B,2023
Spyce,Boston,USA,North America,4,12.0,33,29,Food,Series A,2020
Loftsmart,New York City,USA,North America,25,75.0,33,8,Real Estate,Series A,2020
Zeplin,San Francisco Bay Area,USA,North America,37,35.0,106,69,Product,Seed,2023
Augury,New York City,USA,North America,70,18.0,389,319,Manufacturing,Series E,2023
Alto Pharmacy,San Francisco Bay Area,USA,North America,47,6.0,783,736,Healthcare,Series D,2020
WeTranSan Franciscoer,Amsterdam,Netherlands,Europe,35,10.0,350,315,Other,Series A,2023
The Predictive Investment,Boston,USA,North America,59,25.0,236,177,HR,Acquired,2020
Blend,San Francisco Bay Area,USA,North America,340,28.0,1214,874,Finance,Post-IPO,2023
Tipalti,San Francisco Bay Area,USA,North America,123,11.0,1118,995,Finance,Series F,2023
uShip,Austin,USA,North America,65,37.0,176,111,Logistics,Series D,2020
Eatsy,Singapore,Singapore,Asia,20,100.0,20,0,Food,Seed,2020
Immutable,Sydney,Australia,Australia,20,6.0,333,313,Crypto,Series C,2022
Wave Sports and Entertainment,Los Angeles,USA,North America,56,33.0,170,114,Media,Series B,2022
BlackLine,Los Angeles,USA,North America,95,5.0,1900,1805,Finance,Post-IPO,2023
Dealtale,Tel Aviv,Israel,Asia,70,100.0,70,0,Sales,Acquired,2023
Wayfair,Boston,USA,North America,870,5.0,17400,16530,Retail,Post-IPO,2022
SecureWorks,Atlanta,USA,North America,300,15.0,2000,1700,Security,Post-IPO,2023
Minute Media,London,United Kingdom,Europe,50,10.0,500,450,Media,Series I,2023
Linkfire,Copenhagen,Denmark,Europe,35,35.0,100,65,Marketing,Seed,2022
Hubba,Toronto,Canada,North America,45,100.0,45,0,Retail,Series B,2021
Avo,Tel Aviv,Israel,Asia,500,67.0,746,246,Food,Series B,2022
Lending Club,San Francisco Bay Area,USA,North America,225,14.0,1607,1382,Finance,Post-IPO,2023
Cybereason,Boston,USA,North America,200,17.0,1176,976,Security,Series F,2022
Gather,San Francisco Bay Area,USA,North America,30,33.0,91,61,Consumer,Series B,2022
Eucalyptus,Sydney,Australia,Australia,50,20.0,250,200,Healthcare,Series C,2022
BenchSci,Toronto,Canada,North America,70,17.0,412,342,Healthcare,Series D,2024
Swiggy,Bengaluru,India,Asia,380,6.0,6333,5953,Food,Unknown,2023
Loft,Sao Paulo,Brazil,South America,47,10.0,470,423,Real Estate,Series C,2020
Samsara,San Francisco Bay Area,USA,North America,300,18.0,1667,1367,Logistics,Series F,2020
Bright Machines,San Francisco Bay Area,USA,North America,30,8.0,375,345,Data,Unknown,2022
Wish,San Francisco Bay Area,USA,North America,255,34.0,750,495,Retail,Post-IPO,2023
Unacademy,Bengaluru,India,Asia,350,10.0,3500,3150,Education,Series H,2022
VideoAmp,Los Angeles,USA,North America,21,10.0,210,189,Marketing,Series C,2020
Katerra,San Francisco Bay Area,USA,North America,2434,100.0,2434,0,Construction,Unknown,2021
SumUp,Sao Paulo,Brazil,South America,100,3.0,3333,3233,Finance,Unknown,2022
Grabango,San Francisco Bay Area,USA,North America,34,40.0,85,51,Food,Unknown,2023
Avidbots,Kitchener,Canada,North America,50,14.0,357,307,Hardware,Series C,2023
Klarna,Stockholm,Sweden,Europe,700,10.0,7000,6300,Finance,Unknown,2022
Redfin,Seattle,USA,North America,201,4.0,5025,4824,Real Estate,Post-IPO,2023
BuzzFeed,New York City,USA,North America,180,15.0,1200,1020,Media,Post-IPO,2023
Bitwise,Fresno,USA,North America,900,100.0,900,0,Crypto,Series B,2023
Dynamic Signal,San Francisco Bay Area,USA,North America,35,19.0,184,149,HR,Series E,2020
Wish,San Francisco Bay Area,USA,North America,150,17.0,882,732,Retail,Post-IPO,2023
DeepVerge,Dublin,Ireland,Europe,50,100.0,50,0,Healthcare,Post-IPO,2023
Instructure,Salt Lake City,USA,North America,150,12.0,1250,1100,Education,Acquired,2020
View,San Francisco Bay Area,USA,North America,170,23.0,739,569,Other,Post-IPO,2023
Getaround,San Francisco Bay Area,USA,North America,100,25.0,400,300,Transportation,Series D,2020
Zulily,Seattle,USA,North America,839,100.0,839,0,Retail,Acquired,2023
ConsenSys,New York City,USA,North America,100,11.0,909,809,Crypto,Series D,2023
Infarm,Berlin,Germany,Europe,50,5.0,1000,950,Other,Series D,2022
FanClash,Gurugram,India,Asia,100,75.0,133,33,Consumer,Series B,2023
Juul,San Francisco Bay Area,USA,North America,400,30.0,1333,933,Consumer,Unknown,2022
Guardant Health,San Francisco Bay Area,USA,North America,130,7.0,1857,1727,Healthcare,Post-IPO,2023
Transmit Security,Boston,USA,North America,27,7.0,386,359,Security,Series A,2022
GoPro,San Francisco Bay Area,USA,North America,200,20.0,1000,800,Consumer,Post-IPO,2020
Kitopi,Dubai,United Arabian Emirates,Asia,93,10.0,930,837,Food,Series C,2022
Lendis,Berlin,Germany,Europe,18,15.0,120,102,Other,Series A,2022
Bounce,Bengaluru,India,Asia,40,5.0,800,760,Transportation,Series D,2023
Innovaccer,San Francisco Bay Area,USA,North America,90,8.0,1125,1035,Healthcare,Series E,2022
Arrive Logistics,Austin,USA,North America,75,7.0,1071,996,Logistics,Series B,2020
FrontRow,Bengaluru,India,Asia,39,90.0,43,4,Education,Series A,2023
Swiggy,Bengaluru,India,Asia,250,3.0,8333,8083,Food,Unknown,2022
Adaptive Biotechnology,Seattle,USA,North America,100,12.0,833,733,Healthcare,Post-IPO,2022
Skedulo,San Francisco Bay Area,USA,North America,31,8.0,388,357,HR,Series C,2022
D2iQ,San Francisco Bay Area,USA,North America,34,13.0,262,228,Infrastructure,Series D,2020
Immersive Labs,Bristol,United Kingdom,Europe,38,10.0,380,342,Security,Series C,2022
Teachmint,Bengaluru,India,Asia,45,5.0,900,855,Education,Series B,2022
Western Digital,Kfar Saba,Israel,Asia,60,7.0,857,797,Hardware,Post-IPO,2023
Mogo,Vancouver,Canada,North America,78,30.0,260,182,Finance,Post-IPO,2020
Compass,New York City,USA,North America,271,6.691358024691358,4050,3779,Real Estate,Post-IPO,2022
SundaySky,New York City,USA,North America,24,13.0,185,161,Marketing,Series D,2022
Superhuman,San Francisco Bay Area,USA,North America,23,22.0,105,82,Consumer,Series C,2022
Nylas,San Francisco Bay Area,USA,North America,80,25.0,320,240,Product,Series C,2022
HopSkipDrive,Los Angeles,USA,North America,8,10.0,80,72,Transportation,Unknown,2020
Humane,San Francisco Bay Area,USA,North America,10,4.0,250,240,Hardware,Series C,2024
Etsy,New York City,USA,North America,225,11.0,2045,1820,Retail,Post-IPO,2023
iRobot,Boston,USA,North America,140,10.0,1400,1260,Consumer,Acquired,2022
Beyond Meat,Los Angeles,USA,North America,200,19.0,1053,853,Food,Post-IPO,2022
Sonos,New York City,USA,North America,174,12.0,1450,1276,Consumer,Post-IPO,2020
Protocol Labs,San Francisco Bay Area,USA,North America,89,20.0,445,356,Crypto,Unknown,2023
Bolt,San Francisco Bay Area,USA,North America,240,27.0,889,649,Finance,Series E,2022
iRobot,Boston,USA,North America,85,7.0,1214,1129,Consumer,Acquired,2023
Udayy,Gurugram,India,Asia,100,100.0,100,0,Education,Seed,2022
Procore,Los Angeles,USA,North America,180,9.0,2000,1820,Construction,Unknown,2020
TrueCar,Los Angeles,USA,North America,219,30.0,730,511,Transportation,Post-IPO,2020
Electronic Arts,San Francisco Bay Area,USA,North America,780,6.0,13000,12220,Consumer,Post-IPO,2023
Ethos Life,San Francisco Bay Area,USA,North America,18,14.0,129,111,Finance,Series C,2020
Software AG,Frankfurt,Germany,Europe,200,4.0,5000,4800,Data,Post-IPO,2023
Homie,Salt Lake City,USA,North America,119,29.0,410,291,Real Estate,Series B,2022
Heroes,London,United Kingdom,Europe,24,20.0,120,96,Retail,Unknown,2022
Pilot,San Francisco Bay Area,USA,North America,45,13.0,346,301,Finance,Unknown,2023
Aqua Security,Boston,USA,North America,65,10.0,650,585,Security,Series E,2022
GoBear,Singapore,Singapore,Asia,22,11.0,200,178,Finance,Unknown,2020
Voyage SMS,Los Angeles,USA,North America,8,13.0,62,54,Marketing,Unknown,2022
Coding Dojo,Seattle,USA,North America,7,7.0,100,93,Education,Unknown,2020
RigUp,Austin,USA,North America,120,25.0,480,360,Energy,Series D,2020
Lattice,San Francisco Bay Area,USA,North America,105,15.0,700,595,HR,Series F,2023
Springbig,Miami,USA,North America,37,23.0,161,124,Sales,Post-IPO,2022
Daily Harvest,New York City,USA,North America,60,20.0,300,240,Food,Series D,2022
WalkMe,San Francisco Bay Area,USA,North America,112,10.0,1120,1008,Other,Post-IPO,2023
FarEye,New Delhi,India,Asia,250,30.0,833,583,Logistics,Series E,2022
Culture Amp,Melbourne,Australia,Australia,90,9.0,1000,910,HR,Series F,2023
Sisense,New York City,USA,North America,80,9.0,889,809,Data,Series F,2020
Movidesk,Blumenau,Brazil,South America,33,25.0,132,99,Support,Seed,2020
Megaport,Brisbane,Australia,Australia,50,16.0,313,263,Infrastructure,Post-IPO,2023
Twiga,Nairobi,Kenya,Africa,283,33.0,858,575,Food,Series C,2023
Olo,New York City,USA,North America,81,11.0,736,655,Food,Post-IPO,2023
RealSelf,Seattle,USA,North America,11,5.0,220,209,Healthcare,Series B,2022
FrontRow,Bengaluru,India,Asia,130,75.0,173,43,Education,Series A,2022
Skyscanner,Edinburgh,United Kingdom,Europe,300,20.0,1500,1200,Travel,Acquired,2020
Loom,San Francisco Bay Area,USA,North America,34,14.0,243,209,Product,Series C,2022
Clarify Health,San Francisco Bay Area,USA,North America,15,5.0,300,285,Healthcare,Series D,2022
Plex,San Francisco Bay Area,USA,North America,37,20.0,185,148,Media,Unknown,2023
Rhino,New York City,USA,North America,57,20.0,285,228,Real Estate,Unknown,2022
Citrine Informatics,San Francisco Bay Area,USA,North America,22,27.0,81,59,Data,Series C,2023
Swappie,Helsinki,Finland,Europe,250,17.0,1471,1221,Retail,Series C,2022
CyCognito,San Francisco Bay Area,USA,North America,30,15.0,200,170,Security,Series C,2022
Rivian,Detroit,USA,North America,40,2.0,2000,1960,Transportation,Private Equity …,2020
BlackLine,Los Angeles,USA,North America,95,5.0,1900,1805,Finance,Private Equity …,2022
Sojern,San Francisco Bay Area,USA,North America,300,50.0,600,300,Marketing,Series D,2020
Zoom,San Francisco Bay Area,USA,North America,1300,15.0,8667,7367,Other,Post-IPO,2023
Confluent,San Francisco Bay Area,USA,North America,221,8.0,2763,2542,Data,Post-IPO,2023
ShareChat,Bengaluru,India,Asia,200,15.0,1333,1133,Consumer,Series H,2023
Highspot,Seattle,USA,North America,100,10.0,1000,900,Sales,Series F,2023
KeepTruckin,San Francisco Bay Area,USA,North America,349,18.0,1939,1590,Logistics,Series D,2020
Micron,Boise,USA,North America,4800,10.0,48000,43200,Hardware,Post-IPO,2023
Oscar Health,New York City,USA,North America,70,5.0,1400,1330,Healthcare,Unknown,2020
Evolve,Denver,USA,North America,175,20.0,875,700,Travel,Series F,2023
Equitybee,San Francisco Bay Area,USA,North America,25,20.0,125,100,Finance,Series B,2022
Nevro,San Francisco Bay Area,USA,North America,63,5.0,1260,1197,Healthcare,Post-IPO,2024
Yojak,Gurugram,India,Asia,140,50.0,280,140,Construction,Seed,2022
eToro,Tel Aviv,Israel,Asia,100,6.0,1667,1567,Finance,Unknown,2022
Evolve,Denver,USA,North America,164,14.0,1171,1007,Travel,Series F,2023
ForeScout,Tel Aviv,Israel,Asia,100,10.0,1000,900,Security,Acquired,2023
Perfect Day,San Francisco Bay Area,USA,North America,134,15.0,893,759,Food,Series D,2023
Tally,San Francisco Bay Area,USA,North America,28,23.0,122,94,Finance,Series C,2020
Netlify,San Francisco Bay Area,USA,North America,48,16.0,300,252,Product,Series D,2022
Compete,Tel Aviv,Israel,Asia,11,28.0,39,28,HR,Series A,2022
Discord,San Francisco Bay Area,USA,North America,37,4.0,925,888,Consumer,Series H,2023
B8ta,San Francisco Bay Area,USA,North America,250,50.0,500,250,Retail,Series C,2020
Lemonade,New York City,USA,North America,45,3.0,1500,1455,Finance,Post-IPO,2023
MasterClass,San Francisco Bay Area,USA,North America,120,20.0,600,480,Education,Series E,2022
Outreach,Seattle,USA,North America,60,5.0,1200,1140,Sales,Series G,2022
Teladoc Health,New York City,USA,North America,300,6.0,5000,4700,Healthcare,Post-IPO,2023
Guideline,San Francisco Bay Area,USA,North America,48,11.0,436,388,Finance,Series E,2023
Kenko Health,Mumbai,India,Asia,50,20.0,250,200,Healthcare,Series A,2023
Fiverr,Tel Aviv,Israel,Asia,60,8.0,750,690,Other,Post-IPO,2022
Torii,Ra'anana,Israel,Asia,28,30.0,93,65,Other,Series B,2023
Eventbrite,San Francisco Bay Area,USA,North America,80,8.0,1000,920,Consumer,Post-IPO,2023
Textio,Seattle,USA,North America,30,20.0,150,120,Recruiting,Unknown,2020
Dropp,Berlin,Germany,Europe,60,100.0,60,0,Retail,Unknown,2023
Zeus Living,San Francisco Bay Area,USA,North America,80,30.0,267,187,Real Estate,Series B,2020
Kickstarter,New York City,USA,North America,25,18.0,139,114,Finance,Unknown,2020
C2FO,Kansas City,USA,North America,20,2.0,1000,980,Finance,Series H,2022
QuintoAndar,Sao Paulo,Brazil,South America,160,4.0,4000,3840,Real Estate,Series E,2022
Kiavi,San Francisco Bay Area,USA,North America,39,7.0,557,518,Real Estate,Series E,2022
Wheel,Austin,USA,North America,56,28.0,200,144,Healthcare,Series C,2023
Xentral,Munich,Germany,Europe,20,10.0,200,180,Product,Series B,2022
ThirdLove,San Francisco Bay Area,USA,North America,65,30.0,217,152,Retail,Series B,2020
GitLab,San Francisco Bay Area,USA,North America,130,7.0,1857,1727,Product,Post-IPO,2023
nCino,Wilmington,USA,North America,100,7.0,1429,1329,Finance,Post-IPO,2023
ZoomInfo,Vancouver,Canada,North America,120,3.0,4000,3880,Sales,Post-IPO,2023
Nomad Health,New York City,USA,North America,119,17.0,700,581,Healthcare,Unknown,2023
Grover,Berlin,Germany,Europe,40,10.0,400,360,Retail,Unknown,2022
Meesho,Bengaluru,India,Asia,251,15.0,1673,1422,Retail,Series F,2023
BlockFi,New York City,USA,North America,250,20.0,1250,1000,Crypto,Series E,2022
Sage Therapeutics,Boston,USA,North America,340,53.0,642,302,Healthcare,Post-IPO,2020
ezCater,Boston,USA,North America,400,44.0,909,509,Food,Series D,2020
Mux,San Francisco Bay Area,USA,North America,40,30.0,133,93,Infrastructure,Series D,2023
BookClub,Salt Lake City,USA,North America,12,25.0,48,36,Education,Series A,2022
OrCam,Jerusalem,Israel,Asia,62,16.0,388,326,Healthcare,Unknown,2022
Project44,Chicago,USA,North America,130,10.0,1300,1170,Logistics,Unknown,2023
Lithic,New York City,USA,North America,27,18.0,150,123,Finance,Series C,2022
Zomato,Gurugram,India,Asia,520,13.0,4000,3480,Food,Series J,2020
Stord,Atlanta,USA,North America,59,8.0,738,679,Logistics,Series D,2022
Edgio,Phoenix,USA,North America,95,10.0,950,855,Infrastructure,Post-IPO,2022
Zebra Technologies,Chicago,USA,North America,700,7.0,10000,9300,Manufacturing,Post-IPO,2023
Namely,New York City,USA,North America,110,40.0,275,165,HR,Series E,2020
Intercom,San Francisco Bay Area,USA,North America,124,13.0,954,830,Support,Series D,2022
Pliops,Tel Aviv,Israel,Asia,12,9.0,133,121,Data,Series D,2022
Hotmart,Belo Horizonte,Brazil,South America,227,12.0,1892,1665,Marketing,Series C,2022
Hopin,London,United Kingdom,Europe,242,29.0,834,592,Other,Series D,2022
Community Gami…,New York City,USA,North America,17,17.0,100,83,Crypto,Series A,2023
54gene,Washington DC,USA,North America,95,30.0,317,222,Healthcare,Series B,2022
Chief,New York City,USA,North America,43,14.0,307,264,Other,Series B,2023
Dragos,Baltimore,USA,North America,50,9.0,556,506,Security,Series D,2023
ClickUp,San Diego,USA,North America,90,10.0,900,810,Other,Series C,2023
Hopin,London,United Kingdom,Europe,138,12.0,1150,1012,Other,Series D,2022
Vroom,New York City,USA,North America,270,14.0,1929,1659,Transportation,Post-IPO,2022
Industrious,New York City,USA,North America,90,20.0,450,360,Real Estate,Series D,2020
Redbubble,Melbourne,Australia,Australia,70,23.0,304,234,Retail,Post-IPO,2023
SchoolMint,San Francisco Bay Area,USA,North America,29,14.0,207,178,Education,Acquired,2023
Moss,Berlin,Germany,Europe,70,15.0,467,397,Finance,Series B,2022
Figure,San Francisco Bay Area,USA,North America,90,20.0,450,360,Crypto,Unknown,2023
Deepgram,San Francisco Bay Area,USA,North America,20,20.0,100,80,AI,Series B,2023
Amazon,Seattle,USA,North America,10000,3.0,333333,323333,Retail,Post-IPO,2022
GetNinjas,Sao Paulo,Brazil,South America,11,10.0,110,99,Consumer,Series B,2020
Automation Anything,San Francisco Bay Area,USA,North America,260,10.0,2600,2340,Other,Series B,2020
Blueground,New York City,USA,North America,130,25.0,520,390,Real Estate,Series B,2020
BigCommerce,Austin,USA,North America,180,13.0,1385,1205,Retail,Post-IPO,2022
UpScalio,Gurugram,India,Asia,25,15.0,167,142,Retail,Series B,2023
Faire,San Francisco Bay Area,USA,North America,250,20.0,1250,1000,Retail,Series G,2023
Culture Trip,London,United Kingdom,Europe,95,32.0,297,202,Media,Series B,2020
Compass,New York City,USA,North America,450,10.0,4500,4050,Real Estate,Post-IPO,2022
Omuni,Bengaluru,India,Asia,60,35.0,171,111,Retail,Acquired,2023
Huobi,Bejing,China,Asia,300,30.0,1000,700,Crypto,Unknown,2022
PayJoy,San Francisco Bay Area,USA,North America,27,25.0,108,81,Finance,Series B,2020
Exterro,Portland,USA,North America,24,3.0,800,776,Legal,Private Equity …,2023
Otonomo,Tel Aviv,Israel,Asia,80,50.0,160,80,Transportation,Post-IPO,2022
Anodot,Tel Aviv,Israel,Asia,35,27.0,130,95,Data,Series C,2022
Shop101,Mumbai,India,Asia,200,40.0,500,300,Retail,Series C,2020
Shakepay,Montreal,Canada,North America,21,25.0,84,63,Crypto,Series A,2023
Reali,San Francisco Bay Area,USA,North America,140,100.0,140,0,Real Estate,Series B,2022
Pendo,Raleigh,USA,North America,45,5.0,900,855,Product,Series F,2022
Rhumbix,San Francisco Bay Area,USA,North America,16,27.0,59,43,Construction,Series B,2020
StreamElements,Tel Aviv,Israel,Asia,40,20.0,200,160,Media,Series B,2023
Glassdoor,San Francisco Bay Area,USA,North America,140,15.0,933,793,HR,Acquired,2023
Atlas,Chicago,USA,North America,150,30.0,500,350,HR,Series B,2023
Ynsect,Paris,France,Europe,17,25.0,68,51,Food,Series D,2023
Qualtrics,Salt Lake City,USA,North America,270,5.0,5400,5130,Other,Post-IPO,2023
PartnerStack,Toronto,Canada,North America,40,20.0,200,160,Sales,Series B,2023
Dock,Sao Paulo,Brazil,South America,190,12.0,1583,1393,Finance,Private Equity …,2022
Flink,Berlin,Germany,Europe,100,16.0,625,525,Food,Series B,2023
Our Next Energy,Detroit,USA,North America,128,25.0,512,384,Transportation,Series B,2023
Funding Societies,Singapore,Singapore,Asia,65,18.0,361,296,Finance,Series B,2020
2TM,Sao Paulo,Brazil,South America,90,12.0,750,660,Crypto,Unknown,2022
GoDaddy,Phoenix,USA,North America,530,8.0,6625,6095,Marketing,Post-IPO,2023
Freetrade,London,United Kingdom,Europe,45,15.0,300,255,Finance,Unknown,2022
Clutch,Toronto,Canada,North America,76,22.0,345,269,Transportation,Series B,2022
InfluxData,San Francisco Bay Area,USA,North America,65,27.0,241,176,Data,Series D,2022
Chargebee,San Francisco Bay Area,USA,North America,100,10.0,1000,900,Finance,Series H,2023
Meesho,Bengaluru,India,Asia,200,28.0,714,514,Retail,Series D,2020
Freshworks,San Francisco Bay Area,USA,North America,114,2.0,5700,5586,Support,Post-IPO,2023
Livspace,Bengaluru,India,Asia,450,15.0,3000,2550,Retail,Series D,2020
Nate,New York City,USA,North America,30,20.0,150,120,Retail,Series A,2022
Bounce,Bengaluru,India,Asia,200,40.0,500,300,Transportation,Series D,2021
Discord,San Francisco Bay Area,USA,North America,170,17.0,1000,830,Consumer,Series H,2024
Meta,San Francisco Bay Area,USA,North America,10000,13.5841170323929,73615,63615,Consumer,Post-IPO,2023
Bounce,Bengaluru,India,Asia,130,22.0,591,461,Transportation,Series D,2020
Truiloo,Vancouver,Canada,North America,24,5.0,480,456,Security,Series D,2022
PayPal,San Francisco Bay Area,USA,North America,2000,7.0,28571,26571,Finance,Post-IPO,2023
Minted,San Francisco Bay Area,USA,North America,147,37.0,397,250,Retail,Series E,2020
Lending Club,San Francisco Bay Area,USA,North America,172,14.0,1229,1057,Finance,Post-IPO,2023
Loop,Washington DC,USA,North America,15,20.0,75,60,Finance,Series A,2022
Clearbanc,Toronto,Canada,North America,17,8.0,213,196,Finance,Series B,2020
InfoSum,London,United Kingdom,Europe,20,12.0,167,147,Security,Series B,2022
Buenbit,Buenos Aires,Argentina,South America,80,45.0,178,98,Crypto,Series A,2022
Unbabel,Lisbon,Portugal,Europe,80,35.0,229,149,Support,Series C,2020
Candy Digital,New York City,USA,North America,33,33.0,100,67,Crypto,Series A,2022
Hibob,Tel Aviv,Israel,Asia,70,30.0,233,163,HR,Series A,2020
Spin,San Francisco Bay Area,USA,North America,78,10.0,780,702,Transportation,Acquired,2022
Q4,Toronto,Canada,North America,50,8.0,625,575,Other,Series C,2022
LinkedIn,San Francisco Bay Area,USA,North America,716,4.0,17900,17184,Recruiting,Acquired,2023
BitOasis,Dubai,United Arabian Emirates,Asia,9,5.0,180,171,Crypto,Series B,2022
Fate Therapeutics,San Diego,USA,North America,315,57.0,553,238,Healthcare,Post-IPO,2023
Teleport,San Francisco Bay Area,USA,North America,15,6.0,250,235,Infrastructure,Series C,2022
Innovaccer,San Francisco Bay Area,USA,North America,245,15.0,1633,1388,Healthcare,Series E,2023
Udacity,San Francisco Bay Area,USA,North America,55,13.0,423,368,Education,Unknown,2022
